run_id,harness,context,verification,seed,success,tool_coverage,full_tool_coverage,any_self_check,self_check_rate,retry_action,recovered_to_success,tool_turns,model_calls,prompt_tokens,generated_tokens,latency_seconds,wall_seconds
3d5b6d57-3ad1-4442-8712-2b353089c744,direct,full,true,0,0.6875,0.8375,0.4375,0.03125,0.0078125,0.9375,0.6875,6.84375,7.84375,5056.125,314.6875,6.275958,240.653864
a9808fb0-f8ec-4938-9536-011795a16a13,direct,full,true,1,0.71875,0.86875,0.46875,0,0,0.96875,0.71875,6.9375,7.9375,5083.03125,308.40625,5.691047,290.211527
6bcaa9b1-002a-43c8-ae36-588a7a26537e,direct,full,true,2,0.75,0.9,0.5,0.03125,0.015625,1,0.75,7.25,8.25,5327.65625,313.1875,5.606861,220.470416
97584892-d99d-42dc-99ec-c22a985ecb6d,direct,full,false,0,0.8125,0.9,0.5,0.09375,0.028646,1,0.8125,7.59375,8.59375,5429.5,352.625,6.172978,315.653294
fe71e4f3-ef1f-4e6e-8d50-8d82e6171783,direct,full,false,1,0.8125,0.9,0.5,0.03125,0.010417,1,0.8125,7.65625,8.65625,5501.03125,358.46875,6.157359,318.601918
683ea04a-8ed6-4292-8055-a1809ebf74ef,direct,full,false,2,0.78125,0.9,0.5,0.0625,0.020833,1,0.78125,7.6875,8.6875,5546.75,355.5625,6.075936,250.141602
823d99c8-e370-42bc-a5c8-f21810951ace,direct,compact,true,0,0.625,0.7875,0.4375,0.59375,0.272619,0.9375,0.625,9.65625,10,5998.46875,398.59375,6.656166,335.084142
6ebbf28e-cf95-417b-841d-af6675a01ba3,direct,compact,true,1,0.6875,0.81875,0.46875,0.5625,0.231548,0.96875,0.6875,9.84375,10.1875,6107.15625,398.40625,6.635588,335.462547
d5affc33-4ceb-49d1-b57b-b35cea04d69c,direct,compact,true,2,0.6875,0.8375,0.5,0.5625,0.231101,1,0.6875,10.1875,10.5,6304.09375,401.34375,6.689080,270.269134
100b68e8-24a3-4a58-938f-33f77d0cb19d,direct,compact,false,0,0.78125,0.875,0.5,0.1875,0.072917,1,0.78125,9.21875,9.84375,5589.90625,404.875,6.725708,340.394330
037f5aa8-ce17-4f78-921d-1066ddc8c912,direct,compact,false,1,0.8125,0.8875,0.5,0.15625,0.0625,1,0.8125,8.96875,9.65625,5473.46875,398.09375,6.617956,335.232254
dc57445b-5b61-48dc-8cd0-fb1b0757298d,direct,compact,false,2,0.78125,0.86875,0.5,0.21875,0.085417,1,0.78125,9.4375,10,5708.03125,413.34375,6.881328,265.778537
244cbc02-08c9-4305-bfa7-1244c576dc60,stateful,full,true,0,0.625,0.7625,0.5,0.71875,0.34375,0.875,0.625,9.375,20.1875,12940.59375,449.90625,7.316420,396.808128
46dc2c16-0c32-478d-8875-dc6eeedfd80a,stateful,full,true,1,0.5,0.683333,0.4375,0.75,0.417708,0.84375,0.5,10.0625,21.3125,13901.3125,460.71875,7.455614,400.715026
4621b77b-90a9-4409-bd0a-bb5f2d825410,stateful,full,true,2,0.5625,0.727083,0.46875,0.78125,0.372396,0.875,0.5625,10,21.3125,13910.90625,457.09375,7.616581,286.045801
6d4ace6a-4b66-40ff-8a66-26a361f70ff8,stateful,full,false,0,0.65625,0.764583,0.40625,0,0,0.96875,0.65625,9.53125,20.25,12708.46875,445,7.218339,389.955856
4d604972-225d-4b9f-8c24-b9ca543639cf,stateful,full,false,1,0.75,0.8,0.5,0,0,1,0.75,9,19.5,12023.40625,432.34375,7.070511,389.633395
529c6439-dc7d-41cc-932a-b67a47e6c75a,stateful,full,false,2,0.65625,0.766667,0.40625,0,0,0.9375,0.65625,9.3125,19.9375,12371.375,432.15625,7.059636,282.581269
3ebda3b6-3e6b-4f9d-a5c5-8f44a9634469,stateful,compact,true,0,0,0.366667,0,0,0,0.25,0,12,24,10578.71875,334.125,5.842108,349.655276
9e882d5b-5db9-4fdc-ba2b-cbf65af35fe7,stateful,compact,true,1,0,0.379167,0,0,0,0.25,0,12,24,10578.75,334.65625,5.829892,350.327345
16e5d397-da7a-4a7a-8b40-cf6b281dca99,stateful,compact,true,2,0,0.379167,0,0,0,0.25,0,12,24,10578.21875,334.9375,5.982605,238.034686
1abb91a8-35bb-48f5-841b-419bb23eaf09,stateful,compact,false,0,0.125,0.497917,0,0,0,0.5,0.125,12,24,9948.34375,380.9375,6.388420,368.672389
c5b0847f-7e89-4c6b-b55a-51ee72f85cc9,stateful,compact,false,1,0.125,0.491667,0,0,0,0.5,0.125,11.84375,23.75,9842.09375,373.90625,6.339614,367.314469
8c2fd0a2-3fa5-470a-a4e3-8b1750428011,stateful,compact,false,2,0.125,0.485417,0,0,0,0.5,0.125,11.9375,23.9375,9921.15625,379.71875,6.384132,244.903626
